# Flux (atmospheric extinction and telluric absorption corrected), Flux uncertainty (atmospheric extinction and telluric absorption corrected), Sky flux (atmospheric extinction and telluric absorption corrected)
1.883538509504341349e-13,6.682449558409672221e-16,4.342556908967398458e-14
1.876129459176221789e-13,6.660744650689927678e-16,4.343892244986574118e-14
1.862628370765740025e-13,6.645604486377207501e-16,4.369179690366203380e-14
1.867500406576955559e-13,6.681065569168861991e-16,4.356155126777500143e-14
1.858187752050575988e-13,6.662455302468989139e-16,4.343587445064790595e-14
1.851036991155532144e-13,6.647579590110965426e-16,4.330916159677152677e-14
1.852433734666673607e-13,6.646083934293687268e-16,4.334457478087199552e-14
1.842888865491812095e-13,6.608988489754212054e-16,4.335956548950976895e-14
1.843129975117937789e-13,6.603806235756460420e-16,4.343514569970457687e-14
1.840628503387649987e-13,6.594078267723833928e-16,4.312206873332051913e-14
1.833955759478748935e-13,6.581138427687456398e-16,4.313877169604809397e-14
1.829602687995096057e-13,6.598309897508929457e-16,4.317881236643859869e-14
1.823239982853196796e-13,6.555136156767082703e-16,4.318218296434170443e-14
1.817949806057447189e-13,6.545335135961637086e-16,4.301665744934046496e-14
1.813281591704289232e-13,6.534316790721619616e-16,4.297425385257673034e-14
1.806784959728557498e-13,6.526842667748274922e-16,4.308741524251091350e-14
1.807509097216727449e-13,6.541040209287215900e-16,4.300035480778267983e-14
1.797275934239666979e-13,6.506664180879768193e-16,4.303165746725076340e-14
1.792131548082244247e-13,6.495501892997671630e-16,4.319844112237717052e-14
1.787403519892841548e-13,6.487058614077078885e-16,4.303773765309568022e-14
1.786927935468871649e-13,6.498665437747892421e-16,4.289029521753906446e-14
1.784602178446835897e-13,6.479568921969833890e-16,4.270282373313573953e-14
1.776531109424525408e-13,6.442209378986461971e-16,4.265683386760021755e-14
1.778896228192814438e-13,6.449200206957791955e-16,4.254563728078067148e-14
1.773596302121366800e-13,6.417507274514291364e-16,4.245811242193857709e-14
1.766417567221299162e-13,6.408646473405127131e-16,4.248035454061369758e-14
1.768663824771668561e-13,6.407933978985280773e-16,4.246524632198043077e-14
1.765687103915966284e-13,6.404665301456937993e-16,4.249453355425155957e-14
1.754714965618812292e-13,6.398641399031429207e-16,4.240705713468597635e-14
1.744561679519254321e-13,6.378141756215632702e-16,4.240761669414726031e-14
1.733725515941763182e-13,6.382409854260749310e-16,4.247918510453195936e-14
1.734187796474724500e-13,6.400079209567590038e-16,4.249873582205922275e-14
1.724966252665406686e-13,6.401270495428027933e-16,4.270553424777429165e-14
1.708633248155411638e-13,6.403294980483298055e-16,4.299074947502053245e-14
1.700010730153482899e-13,6.412381084351185652e-16,4.306222320613058407e-14
1.694294280961504495e-13,6.418271330650958179e-16,4.298276517527902186e-14
1.689116872495164414e-13,6.410472949395829454e-16,4.293420484844675664e-14
1.686040449353236103e-13,6.400700522286936322e-16,4.301978435482095489e-14
1.686802933219194292e-13,6.402680184795380630e-16,4.306099622500034521e-14
1.688008651948902068e-13,6.380096591471626230e-16,4.287213958460413401e-14
1.690453727430886174e-13,6.358303968773536131e-16,4.259915581174713298e-14
1.688800311171218722e-13,6.350803803398765676e-16,4.246401237984492562e-14
1.681938613036923579e-13,6.334838427836846263e-16,4.246311843951867801e-14
1.676551074512076807e-13,6.322281864840031152e-16,4.238798934544742736e-14
1.670493644314836845e-13,6.299388732186377327e-16,4.230195391015389444e-14
1.670496012138170451e-13,6.275228121142082402e-16,4.212205871060164035e-14
1.674613008827054833e-13,6.260721177331885145e-16,4.206121655485596561e-14
1.668720284931119165e-13,6.243627507526419844e-16,4.203160679784010479e-14
1.662862304942858301e-13,6.224693809442104439e-16,4.189819552925730159e-14
1.659333468236024371e-13,6.211796987788871233e-16,4.187893577822920255e-14
1.658211454259939349e-13,6.225078720027966704e-16,4.184288209382322863e-14
1.652498252149398859e-13,6.224299801668967799e-16,4.182408571067535009e-14
1.647869261552110041e-13,6.195772704097715296e-16,4.169859560612882641e-14
1.647853955473804342e-13,6.192241449945388887e-16,4.165796115621838104e-14
1.649822548952919793e-13,6.184387719765005351e-16,4.163772712920941343e-14
1.652070540945577629e-13,6.165345134561784588e-16,4.161014897532206793e-14
1.649026567031662111e-13,6.151002145578574026e-16,4.153529018117792520e-14
1.642244615003937879e-13,6.129628505748060471e-16,4.138530763237617054e-14
1.635260344141192905e-13,6.111241587065683746e-16,4.128137533894789023e-14
1.637917760707277392e-13,6.103985510189836450e-16,4.106076523638260426e-14
1.640677444622990001e-13,6.100713422834674694e-16,4.105342262383350895e-14
1.636024572233484693e-13,6.096465625445866983e-16,4.109281491045216044e-14
1.633750694616273709e-13,6.088406471817998694e-16,4.099069221255055522e-14
1.629842477116053483e-13,6.065339600271592916e-16,4.099165667016872530e-14
1.628857561528149613e-13,6.056655115412741277e-16,4.097374066101773130e-14
1.623694390236102662e-13,6.044791679733077326e-16,4.084850287416142795e-14
1.618328968467561131e-13,6.020650643066832065e-16,4.070288714845581931e-14
1.621046472230777861e-13,6.032110001627269292e-16,4.082048817827963984e-14
1.619723694808862876e-13,6.033349083137545827e-16,4.078476410465826916e-14
1.607137678287669055e-13,6.015649682314462773e-16,4.078927554235426075e-14
1.597422648229047898e-13,5.997994656814241652e-16,4.074635323690498643e-14
1.598185719258983437e-13,5.996931937402863662e-16,4.070950362095115354e-14
1.598441523934746947e-13,5.986787314328080912e-16,4.059778411371190139e-14
1.597833938998374691e-13,5.981786541400934286e-16,4.055696871312455601e-14
1.594674167258826043e-13,5.963054403557064078e-16,4.051998770729798531e-14
1.587173394436780266e-13,5.944575420663608418e-16,4.050501669400606467e-14
1.586296866818978996e-13,5.940354337998194443e-16,4.042194196733882694e-14
1.587237824941143168e-13,5.939820231939881252e-16,4.041534516427198312e-14
1.577258348114234436e-13,5.920222126475305969e-16,4.030692773159112299e-14
1.574329430885797124e-13,5.918862746860132633e-16,4.025010598171433548e-14
1.563678842777017290e-13,5.899726027435216817e-16,4.038335028741881725e-14
1.559141436327584149e-13,5.889289994465326936e-16,4.051768231291526673e-14
1.563978796160802019e-13,5.912258908838140169e-16,4.050366683714054990e-14
1.558329661242556264e-13,5.900815002255594344e-16,4.038493085395066701e-14
1.549573297530923847e-13,5.883362586166356627e-16,4.031599647377037825e-14
1.546067604718739372e-13,5.877363900893001592e-16,4.038152091375687090e-14
1.541776836836066401e-13,5.871667854841905182e-16,4.028357742970775641e-14
1.538004626095362527e-13,5.863413544351400249e-16,4.030768503009984705e-14
1.532137123371324418e-13,5.851051578065439917e-16,4.018694742092265885e-14
1.532365589491339269e-13,5.848422233285531789e-16,4.014510800383221846e-14
1.534220314115890338e-13,5.840601364857286421e-16,4.011528065136680526e-14
1.533649212812619880e-13,5.837788251568002122e-16,4.004940893730927699e-14
1.523090317905762430e-13,5.818172769684829290e-16,3.998893142564818895e-14
1.515428896527617571e-13,5.817891620160298767e-16,4.001391407240626111e-14
1.513061319092610062e-13,5.817446690599951299e-16,4.005402336183271181e-14
1.502788173579226480e-13,5.809898853049508683e-16,4.014859852690073857e-14
1.501944349385864386e-13,5.807780848284693868e-16,4.018392057436844495e-14
1.501360233852852902e-13,5.812056901683785328e-16,4.019021916861964514e-14
