# Flux (atmospheric extinction and telluric absorption corrected), Flux uncertainty (atmospheric extinction and telluric absorption corrected), Sky flux (atmospheric extinction and telluric absorption corrected)
3.609787238967233297e-16,4.717889468971878103e-17,8.145101164190822326e-15
3.411405486669277278e-16,4.710197343715435525e-17,8.122653404532613068e-15
3.674857104133209744e-16,4.745565198988817873e-17,8.071912019970160824e-15
3.767223626447186576e-16,4.742274423454968301e-17,8.029195196700798774e-15
3.281977608977718280e-16,4.680950080126508393e-17,8.057746961725403856e-15
3.224711175655940188e-16,4.667425573264065606e-17,8.039531009049216440e-15
3.705957000449944391e-16,4.700786301656896215e-17,7.993251892807700248e-15
3.651367100436508330e-16,4.675487588925020908e-17,7.993958278696965620e-15
3.649914256264143589e-16,4.693652355687990643e-17,7.998026691279568010e-15
3.668486295878463922e-16,4.704775722430357690e-17,8.027404811863325907e-15
3.858161796490702696e-16,4.723497259932012455e-17,8.037651995068664422e-15
3.810908710363704388e-16,4.706747021248150225e-17,8.087314908138913798e-15
3.492782076001354937e-16,4.691941270453858048e-17,8.079930027825054006e-15
3.582578184698981486e-16,4.715017278597537092e-17,8.096747752384120756e-15
3.677111467086929396e-16,4.771416072538125527e-17,8.177486945256266237e-15
3.537723881175366774e-16,4.792182833707998022e-17,8.279417790503879723e-15
3.504342287684698810e-16,4.808170083742691007e-17,8.302366026191251730e-15
3.494923198621893146e-16,4.811991092964633228e-17,8.304885809473024256e-15
3.434588557957746034e-16,4.794806429919423734e-17,8.266641682278964974e-15
3.451298034969289696e-16,4.773788661763046124e-17,8.199075609503544495e-15
3.340189268365604333e-16,4.741692601620648361e-17,8.139615534409396736e-15
3.061588770209083384e-16,4.682169753840256075e-17,8.095506384703525895e-15
3.013171793127770168e-16,4.648511747217334677e-17,8.064773264452426895e-15
3.171624580434065996e-16,4.646544930416553505e-17,8.044285460722384815e-15
3.121419350984676164e-16,4.636729291963711885e-17,8.035346431342175591e-15
3.218831573155848699e-16,4.652185146875383613e-17,8.023784262041291599e-15
3.273091936379986971e-16,4.655049522029519157e-17,7.983066087519899888e-15
3.360616294149353777e-16,4.652922109217979059e-17,7.931851026660493347e-15
3.534734592206078623e-16,4.659286852287450600e-17,7.922982055885032159e-15
3.460844850204936460e-16,4.647117660624759194e-17,7.906156347605288609e-15
3.348011840608761504e-16,4.632278093246396601e-17,7.888583744281420490e-15
3.452453134708692551e-16,4.643711598667331578e-17,7.863773850315084930e-15
3.464208161128337213e-16,4.637818580174840398e-17,7.861231511570776551e-15
3.410405230208736840e-16,4.614648517037669898e-17,7.875537880674493984e-15
3.479984463220008320e-16,4.624213321594273098e-17,7.849970101421271778e-15
3.503103770747914960e-16,4.614320933139122470e-17,7.828220855703282781e-15
3.400169217366165538e-16,4.594613719869854491e-17,7.809956735123612333e-15
3.298794899896763658e-16,4.580296212448231757e-17,7.808135116989837732e-15
3.434544381568502387e-16,4.574932937082064707e-17,7.799418566896470817e-15
3.506035904926248131e-16,4.564924106042640227e-17,7.786538148710580864e-15
3.447988177902300797e-16,4.540066794932013890e-17,7.779467202971104858e-15
3.425950369523837955e-16,4.524015405240940862e-17,7.782176819970089899e-15
3.571588595019686199e-16,4.546132034390576015e-17,7.736475012876471591e-15
3.748881677916694851e-16,4.550493014805464694e-17,7.707703487028764429e-15
3.654524227286059343e-16,4.541758725594450893e-17,7.688319125574931710e-15
3.464008842866023244e-16,4.513265576470151829e-17,7.687737224317152009e-15
3.526011642984870869e-16,4.526688816029033322e-17,7.670699095728347335e-15
3.553633060042841421e-16,4.529635024103271647e-17,7.649009044953873917e-15
3.568185756458434387e-16,4.519900946982587507e-17,7.642168253809332409e-15
3.569183138161600360e-16,4.508086190039776141e-17,7.643712950875509362e-15
3.661664131617955264e-16,4.506778372217368010e-17,7.636934114760183206e-15
3.598761479216623706e-16,4.500125434448048769e-17,7.621849604044704295e-15
3.410812021754673992e-16,4.485748910680464631e-17,7.618755271659036050e-15
3.468300289894148988e-16,4.481208824266423195e-17,7.577694392984784091e-15
3.249829816226576579e-16,4.479648317692488358e-17,7.573748330204428532e-15
3.274936308254941363e-16,4.466427163062099511e-17,7.577107571160393309e-15
3.365640061456091575e-16,4.464049201646355473e-17,7.559500465886828542e-15
3.187974823875815851e-16,4.446095059205905504e-17,7.585254185072107391e-15
3.250641076744951454e-16,4.445754054558203672e-17,7.562623757187261936e-15
3.512253738944520029e-16,4.475036268232562709e-17,7.543648964554811485e-15
3.336681905820017429e-16,4.458427685760481165e-17,7.555352111319214072e-15
3.187989143832737917e-16,4.431290142507733714e-17,7.549679071650223858e-15
3.066042581268379620e-16,4.426749969219556786e-17,7.549808888924487265e-15
3.088165946462966893e-16,4.448786565381293388e-17,7.562211465553239200e-15
3.027042201997401212e-16,4.422845764230168808e-17,7.558374124935507306e-15
2.932808936592104340e-16,4.375991954597521396e-17,7.581348422391480260e-15
3.084083354021874898e-16,4.411977063898064969e-17,7.560020615818646731e-15
3.232396220879299978e-16,4.452385024139600740e-17,7.548151651420837781e-15
3.171823911299900207e-16,4.430838340660703040e-17,7.550956034640265877e-15
3.331374726191961799e-16,4.421076682793644624e-17,7.539845847659974677e-15
3.347436484307604911e-16,4.417689115050762032e-17,7.540198322684384048e-15
3.250189938560295988e-16,4.412444566055727382e-17,7.511140591929445604e-15
3.268935281266840983e-16,4.400180743372705707e-17,7.497813135241539424e-15
3.370485384548022746e-16,4.391134307534704221e-17,7.467493231668744123e-15
3.376395853511594358e-16,4.419669717716640793e-17,7.482185716318241976e-15
3.142313043966840034e-16,4.405966313605109110e-17,7.452796593647644464e-15
3.249828414745437233e-16,4.384974232054816815e-17,7.484957727471699676e-15
3.165862160928597694e-16,4.374615690058434071e-17,7.511996089160814209e-15
