# Resampled flux, Resampled flux uncertainty, Resampled sky flux
nan,nan,nan
1.937951960392745938e-13,6.953280190828189979e-16,4.514794243268086657e-14
1.934929282262353560e-13,6.914935922997163661e-16,4.481309732491876675e-14
1.932706902711261747e-13,6.886950446999251348e-16,4.441836963709719861e-14
1.929196538476612648e-13,6.869570111840417324e-16,4.426187658451076219e-14
1.924569489657208585e-13,6.855175695240526927e-16,4.429451230875886618e-14
1.919024457494272536e-13,6.836283388940902078e-16,4.430214876372634155e-14
1.915211931909770979e-13,6.817013289199317530e-16,4.420690522196875107e-14
1.915723751032138473e-13,6.807410995016942100e-16,4.406780712808932584e-14
1.909184940180138363e-13,6.790500783995141737e-16,4.399452679539644400e-14
1.898481991153191417e-13,6.763036082643289147e-16,4.395391979488281644e-14
1.890928101805583882e-13,6.744138238452943474e-16,4.393111878657760352e-14
1.890881703897009413e-13,6.732738268752162405e-16,4.371614511575907302e-14
1.888716153400100061e-13,6.722042797529140479e-16,4.356458559649701006e-14
1.885494998816857362e-13,6.711394022715096975e-16,4.341175783322896111e-14
1.881750584102702299e-13,6.710626934925430265e-16,4.350847132949152994e-14
1.877687988950886557e-13,6.701725811468861474e-16,4.358484648972844771e-14
1.874975284039898055e-13,6.691880222576815474e-16,4.345213410377520228e-14
1.872614881810645415e-13,6.697402011318879743e-16,4.323030557876065000e-14
1.866409352421572656e-13,6.685016354695987576e-16,4.317516040001607303e-14
1.860879425504557520e-13,6.673404864772573414e-16,4.327223600554982854e-14
1.856214307823229808e-13,6.682449558409672221e-16,4.342556908967398458e-14
1.851934875466446363e-13,6.660744650689927678e-16,4.343892244986574118e-14
1.841805287867642867e-13,6.645604486377207501e-16,4.369179690366203380e-14
1.851202890952806295e-13,6.681065569168861991e-16,4.356155126777500143e-14
1.842207438567064220e-13,6.662455302468989139e-16,4.343587445064790595e-14
1.835118173826336498e-13,6.647579590110965426e-16,4.330916159677152677e-14
1.836966997037640026e-13,6.646083934293687268e-16,4.334457478087199552e-14
1.827496404972909151e-13,6.608988489754212054e-16,4.335956548950976895e-14
1.827199474671771794e-13,6.603806235756460420e-16,4.343514569970457687e-14
1.824719623606902700e-13,6.594078267723833928e-16,4.312206873332051913e-14
1.818104553411333285e-13,6.581138427687456398e-16,4.313877169604809397e-14
1.813802650005562690e-13,6.598309897508929457e-16,4.317881236643859869e-14
1.807764018386501438e-13,6.555136156767082703e-16,4.318218296434170443e-14
1.803546401589452554e-13,6.545335135961637086e-16,4.301665744934046496e-14
1.799049838984617190e-13,6.534316790721619616e-16,4.297425385257673034e-14
1.793829434354166568e-13,6.526842667748274922e-16,4.308741524251091350e-14
1.795829214973632713e-13,6.541040209287215900e-16,4.300035480778267983e-14
1.785976467676376172e-13,6.506664180879768193e-16,4.303165746725076340e-14
1.780864424254015340e-13,6.495501892997671630e-16,4.319844112237717052e-14
1.776389256259798578e-13,6.487058614077078885e-16,4.303773765309568022e-14
1.776628693606326015e-13,6.498665437747892421e-16,4.289029521753906446e-14
1.772316232346556604e-13,6.479568921969833890e-16,4.270282373313573953e-14
1.761291968739067207e-13,6.442209378986461971e-16,4.265683386760021755e-14
1.763636799442905031e-13,6.449200206957791955e-16,4.254563728078067148e-14
1.758269128008667569e-13,6.417507274514291364e-16,4.245811242193857709e-14
1.750808491553182956e-13,6.408646473405127131e-16,4.248035454061369758e-14
1.753497508841125775e-13,6.407933978985280773e-16,4.246524632198043077e-14
1.751767851893975100e-13,6.404665301456937993e-16,4.249453355425155957e-14
1.741349344935772114e-13,6.398641399031429207e-16,4.240705713468597635e-14
1.734605161424757597e-13,6.378141756215632702e-16,4.240761669414726031e-14
